       q_A^-1             I 
  1.093235e-02    1.041486e+06
  2.369400e-02    1.039639e+06
  3.645566e-02    7.659840e+05
  4.921731e-02    3.788125e+05
  6.197897e-02    2.000346e+05
  7.474062e-02    6.795956e+04
  8.750227e-02    5.626727e+04
  1.002639e-01    3.538859e+04
  1.130256e-01    1.947749e+04
  1.257872e-01    1.094623e+04
  1.385489e-01    9.296874e+03
  1.513105e-01    8.084621e+03
  1.640722e-01    6.260874e+03
  1.768338e-01    5.230916e+03
  1.895955e-01    4.669809e+03
  2.023572e-01    4.838955e+03
  2.151188e-01    3.474411e+03
  2.278805e-01    2.616259e+03
  2.406421e-01    2.165708e+03
  2.534038e-01    2.087059e+03
  2.661654e-01    1.295543e+03
  2.789271e-01    8.214662e+02
  2.916887e-01    5.651284e+02
  3.044504e-01    5.811616e+02
  3.172120e-01    3.394424e+02
  3.299737e-01    2.227423e+02
  3.427353e-01    1.477146e+02
  3.554970e-01    1.136757e+02
  3.682587e-01    8.326718e+01
  3.810203e-01    6.522224e+01
  3.937820e-01    6.200679e+01
  4.065436e-01    5.694946e+01
  4.193053e-01    5.209684e+01
  4.320669e-01    4.820681e+01
  4.448286e-01    4.427235e+01
  4.575902e-01    4.291479e+01
  4.703519e-01    4.020155e+01
  4.831135e-01    3.856840e+01
  4.958752e-01    3.577422e+01
  5.086368e-01    3.407306e+01
  5.213985e-01    3.311917e+01
  5.341601e-01    3.319307e+01
  5.469218e-01    3.078767e+01
  5.596835e-01    2.893817e+01
  5.724451e-01    2.921847e+01
  5.852068e-01    2.796958e+01
  5.979684e-01    2.793364e+01
  6.107301e-01    2.612349e+01
  6.234917e-01    2.552270e+01
  6.362534e-01    2.566199e+01
  6.490150e-01    2.370427e+01
  6.617767e-01    2.379296e+01
  6.745383e-01    2.330517e+01
  6.873000e-01    2.292687e+01
  7.000616e-01    2.318847e+01
  7.128233e-01    2.207932e+01
  7.255850e-01    2.187002e+01
  7.383466e-01    2.179552e+01
  7.511083e-01    2.196192e+01
  7.638699e-01    2.123606e+01
  7.766316e-01    2.061967e+01
  7.893932e-01    2.040609e+01
  8.021549e-01    2.000474e+01
  8.149165e-01    2.022013e+01
  8.276782e-01    1.952473e+01
  8.404398e-01    1.935857e+01
  8.532015e-01    1.888476e+01
  8.659631e-01    1.968724e+01
  8.787248e-01    1.859162e+01
  8.914865e-01    1.826291e+01
  9.042481e-01    1.815917e+01
  9.170098e-01    1.752426e+01
  9.297714e-01    1.705133e+01
  9.425331e-01    1.730836e+01
  9.552947e-01    1.693314e+01
  9.680564e-01    1.632706e+01
  9.808180e-01    1.642418e+01
  9.935797e-01    1.660608e+01
  1.006341e+00    1.643266e+01
  1.019103e+00    1.631366e+01
  1.031865e+00    1.577652e+01
  1.044626e+00    1.617888e+01
  1.057388e+00    1.534754e+01
  1.070150e+00    1.508902e+01
  1.082911e+00    1.532166e+01
  1.095673e+00    1.508840e+01
  1.108435e+00    1.475132e+01
  1.121196e+00    1.461294e+01
  1.133958e+00    1.451462e+01
  1.146720e+00    1.509263e+01
  1.159481e+00    1.425006e+01
  1.172243e+00    1.419578e+01
  1.185004e+00    1.415106e+01
  1.197766e+00    1.370479e+01
  1.210528e+00    1.423571e+01
  1.223289e+00    1.336469e+01
  1.236051e+00    1.374767e+01
  1.248813e+00    1.364901e+01
  1.261574e+00    1.351561e+01
  1.274336e+00    1.359878e+01
  1.287098e+00    1.271378e+01
  1.299859e+00    1.306972e+01
  1.312621e+00    1.328515e+01
  1.325383e+00    1.267072e+01
  1.338144e+00    1.257876e+01
  1.350906e+00    1.284739e+01
  1.363668e+00    1.256796e+01
  1.376429e+00    1.237564e+01
  1.389191e+00    1.235352e+01
  1.401953e+00    1.194119e+01
  1.414714e+00    1.237557e+01
  1.427476e+00    1.197555e+01
  1.440238e+00    1.201546e+01
  1.452999e+00    1.198539e+01
  1.465761e+00    1.195159e+01
  1.478523e+00    1.175021e+01
  1.491284e+00    1.127777e+01
  1.504046e+00    1.125878e+01
  1.516807e+00    1.111228e+01
  1.529569e+00    1.114930e+01
  1.542331e+00    1.140673e+01
  1.555092e+00    1.135418e+01
  1.567854e+00    1.087788e+01
  1.580616e+00    1.101886e+01
  1.593377e+00    1.101803e+01
  1.606139e+00    1.100850e+01
  1.618901e+00    1.077739e+01
  1.631662e+00    1.036251e+01
  1.644424e+00    1.027921e+01
  1.657186e+00    1.011394e+01
  1.669947e+00    9.913054e+00
  1.682709e+00    1.001207e+01
  1.695471e+00    1.005966e+01
  1.708232e+00    9.903006e+00
  1.720994e+00    1.000971e+01
  1.733756e+00    9.778234e+00
  1.746517e+00    9.827474e+00
  1.759279e+00    9.505630e+00
  1.772041e+00    9.512687e+00
  1.784802e+00    9.389229e+00
  1.797564e+00    9.200983e+00
  1.810326e+00    9.247554e+00
  1.823087e+00    9.317687e+00
  1.835849e+00    9.295542e+00
  1.848610e+00    9.047274e+00
  1.861372e+00    8.994718e+00
  1.874134e+00    8.964292e+00
  1.886895e+00    8.670563e+00
  1.899657e+00    8.741285e+00
  1.912419e+00    8.747794e+00
  1.925180e+00    8.579457e+00
  1.937942e+00    8.599538e+00
  1.950704e+00    8.234568e+00
  1.963465e+00    8.208969e+00
  1.976227e+00    8.109859e+00
  1.988989e+00    8.385454e+00
  2.001750e+00    8.058457e+00
  2.014512e+00    8.033182e+00
  2.027274e+00    7.963597e+00
  2.040035e+00    7.349928e+00
  2.052797e+00    7.721560e+00
  2.065559e+00    7.458296e+00
  2.078320e+00    7.578280e+00
  2.091082e+00    7.661731e+00
  2.103844e+00    7.454157e+00
  2.116605e+00    7.089721e+00
  2.129367e+00    7.012545e+00
  2.142129e+00    7.447667e+00
  2.154890e+00    7.177602e+00
  2.167652e+00    6.888687e+00
  2.180413e+00    6.800865e+00
  2.193175e+00    6.788633e+00
  2.205937e+00    6.840905e+00
  2.218698e+00    6.947406e+00
  2.231460e+00    6.678408e+00
  2.244222e+00    6.705786e+00
  2.256983e+00    6.390779e+00
  2.269745e+00    6.231106e+00
  2.282507e+00    6.467010e+00
  2.295268e+00    6.552932e+00
  2.308030e+00    6.194956e+00
  2.320792e+00    6.513391e+00
  2.333553e+00    6.457661e+00
  2.346315e+00    5.954621e+00
  2.359077e+00    6.067836e+00
  2.371838e+00    6.231059e+00
  2.384600e+00    6.014760e+00
  2.397362e+00    6.060918e+00
  2.410123e+00    6.022189e+00
  2.422885e+00    5.824172e+00
  2.435647e+00    6.012409e+00
  2.448408e+00    5.849192e+00
  2.461170e+00    6.062791e+00
  2.473931e+00    6.158020e+00
  2.486693e+00    5.875602e+00
  2.499455e+00    6.086501e+00
  2.512216e+00    5.918706e+00
  2.524978e+00    5.897025e+00
  2.537740e+00    5.734303e+00
  2.550501e+00    5.845152e+00
  2.563263e+00    5.625244e+00
  2.576025e+00    5.533099e+00
  2.588786e+00    5.610312e+00
  2.601548e+00    5.566194e+00
  2.614310e+00    5.435820e+00
  2.627071e+00    5.696290e+00
  2.639833e+00    5.611585e+00
  2.652595e+00    5.371925e+00
  2.665356e+00    5.454951e+00
  2.678118e+00    5.438645e+00
  2.690880e+00    5.287642e+00
  2.703641e+00    5.387369e+00
  2.716403e+00    5.307582e+00
  2.729165e+00    5.328955e+00
  2.741926e+00    5.277707e+00
  2.754688e+00    5.449990e+00
  2.767450e+00    5.323771e+00
  2.780211e+00    5.185410e+00
  2.792973e+00    5.351996e+00
  2.805734e+00    5.174045e+00
  2.818496e+00    5.220302e+00
  2.831258e+00    5.173446e+00
  2.844019e+00    5.187859e+00
  2.856781e+00    5.051666e+00
  2.869543e+00    5.045514e+00
  2.882304e+00    5.127388e+00
  2.895066e+00    5.036690e+00
  2.907828e+00    5.115554e+00
  2.920589e+00    5.108271e+00
  2.933351e+00    5.212454e+00
  2.946113e+00    5.125541e+00
  2.958874e+00    5.155542e+00
  2.971636e+00    5.116532e+00
  2.984398e+00    5.207671e+00
  2.997159e+00    5.394487e+00
  3.009921e+00    5.379326e+00
