      q_A^-1             I 
  1.093235e-02    1.039487e+06
  2.369400e-02    1.037645e+06
  3.645566e-02    8.626468e+05
  4.921731e-02    4.637271e+05
  6.197897e-02    3.537673e+05
  7.474062e-02    1.692519e+05
  8.750227e-02    1.406591e+05
  1.002639e-01    8.840516e+04
  1.130256e-01    4.864715e+04
  1.257872e-01    2.737707e+04
  1.385489e-01    2.328185e+04
  1.513105e-01    2.027442e+04
  1.640722e-01    1.571454e+04
  1.768338e-01    1.311536e+04
  1.895955e-01    1.163411e+04
  2.023572e-01    1.211579e+04
  2.151188e-01    8.722849e+03
  2.278805e-01    6.523792e+03
  2.406421e-01    5.395396e+03
  2.534038e-01    5.245854e+03
  2.661654e-01    3.247636e+03
  2.789271e-01    2.065181e+03
  2.916887e-01    1.416322e+03
  3.044504e-01    1.451037e+03
  3.172120e-01    8.568373e+02
  3.299737e-01    5.635255e+02
  3.427353e-01    3.760553e+02
  3.554970e-01    2.852461e+02
  3.682587e-01    2.124819e+02
  3.810203e-01    1.663861e+02
  3.937820e-01    1.524105e+02
  4.065436e-01    1.457184e+02
  4.193053e-01    1.306341e+02
  4.320669e-01    1.202394e+02
  4.448286e-01    1.097134e+02
  4.575902e-01    1.046610e+02
  4.703519e-01    1.001036e+02
  4.831135e-01    9.579268e+01
  4.958752e-01    9.192010e+01
  5.086368e-01    8.582381e+01
  5.213985e-01    8.248935e+01
  5.341601e-01    8.112067e+01
  5.469218e-01    7.625661e+01
  5.596835e-01    7.479153e+01
  5.724451e-01    7.210317e+01
  5.852068e-01    7.063092e+01
  5.979684e-01    6.869106e+01
  6.107301e-01    6.548978e+01
  6.234917e-01    6.325600e+01
  6.362534e-01    6.269039e+01
  6.490150e-01    6.035358e+01
  6.617767e-01    6.049602e+01
  6.745383e-01    5.721375e+01
  6.873000e-01    5.714867e+01
  7.000616e-01    5.646203e+01
  7.128233e-01    5.547593e+01
  7.255850e-01    5.526379e+01
  7.383466e-01    5.417764e+01
  7.511083e-01    5.331180e+01
  7.638699e-01    5.191510e+01
  7.766316e-01    5.252838e+01
  7.893932e-01    5.142678e+01
  8.021549e-01    4.992582e+01
  8.149165e-01    4.974416e+01
