     q_A^-1             I 
  1.093235e-02    1.044879e+06
  2.369400e-02    1.043027e+06
  3.645566e-02    6.109189e+05
  4.921731e-02    3.173077e+05
  6.197897e-02    1.337173e+05
  7.474062e-02    3.297714e+04
  8.750227e-02    2.687212e+04
  1.002639e-01    1.708796e+04
  1.130256e-01    9.595006e+03
  1.257872e-01    5.411030e+03
  1.385489e-01    4.700472e+03
  1.513105e-01    4.099415e+03
  1.640722e-01    3.183326e+03
  1.768338e-01    2.639104e+03
  1.895955e-01    2.351616e+03
  2.023572e-01    2.385334e+03
  2.151188e-01    1.265882e+03
  2.278805e-01    7.274434e+02
  2.406421e-01    4.776793e+02
  2.534038e-01    4.371094e+02
  2.661654e-01    3.607076e+02
  2.789271e-01    2.354255e+02
  2.916887e-01    1.543901e+02
  3.044504e-01    1.221236e+02
  3.172120e-01    7.442480e+01
  3.299737e-01    5.112287e+01
  3.427353e-01    3.657726e+01
  3.554970e-01    3.458366e+01
  3.682587e-01    3.076899e+01
  3.810203e-01    2.801106e+01
  3.937820e-01    2.657262e+01
  4.065436e-01    2.497897e+01
  4.193053e-01    2.402449e+01
  4.320669e-01    2.226563e+01
  4.448286e-01    2.000677e+01
  4.575902e-01    1.972208e+01
  4.703519e-01    1.767103e+01
  4.831135e-01    1.755372e+01
  4.958752e-01    1.636916e+01
  5.086368e-01    1.545661e+01
  5.213985e-01    1.468315e+01
  5.341601e-01    1.453650e+01
  5.469218e-01    1.427129e+01
  5.596835e-01    1.367376e+01
  5.724451e-01    1.343545e+01
  5.852068e-01    1.293429e+01
  5.979684e-01    1.261868e+01
  6.107301e-01    1.165418e+01
  6.234917e-01    1.198561e+01
  6.362534e-01    1.174730e+01
  6.490150e-01    1.103254e+01
  6.617767e-01    1.111914e+01
  6.745383e-01    1.131454e+01
  6.873000e-01    1.032692e+01
  7.000616e-01    1.030814e+01
  7.128233e-01    1.048863e+01
  7.255850e-01    1.029956e+01
  7.383466e-01    9.456071e+00
  7.511083e-01    9.070158e+00
  7.638699e-01    9.207151e+00
  7.766316e-01    9.692951e+00
  7.893932e-01    9.879982e+00
  8.021549e-01    8.847351e+00
  8.149165e-01    9.278601e+00
  8.276782e-01    9.032982e+00
  8.404398e-01    8.934661e+00
  8.532015e-01    8.802727e+00
  8.659631e-01    7.946967e+00
  8.787248e-01    8.455224e+00
  8.914865e-01    8.406211e+00
  9.042481e-01    8.391676e+00
  9.170098e-01    8.312900e+00
  9.297714e-01    8.404436e+00
  9.425331e-01    8.310895e+00
  9.552947e-01    7.713487e+00
  9.680564e-01    7.925976e+00
  9.808180e-01    7.799902e+00
  9.935797e-01    7.944489e+00
  1.006341e+00    7.288881e+00
  1.019103e+00    7.863004e+00
  1.031865e+00    7.482743e+00
  1.044626e+00    7.442073e+00
  1.057388e+00    7.561807e+00
  1.070150e+00    7.367119e+00
  1.082911e+00    7.115945e+00
  1.095673e+00    7.073598e+00
  1.108435e+00    7.064820e+00
  1.121196e+00    6.967072e+00
  1.133958e+00    6.746249e+00
  1.146720e+00    6.823080e+00
  1.159481e+00    6.536939e+00
  1.172243e+00    6.581225e+00
  1.185004e+00    6.505283e+00
  1.197766e+00    6.912317e+00
  1.210528e+00    6.610795e+00
  1.223289e+00    6.342085e+00
  1.236051e+00    6.418792e+00
  1.248813e+00    6.212071e+00
  1.261574e+00    6.223250e+00
  1.274336e+00    6.134264e+00
  1.287098e+00    6.203279e+00
  1.299859e+00    6.123095e+00
  1.312621e+00    6.252060e+00
  1.325383e+00    6.050261e+00
  1.338144e+00    6.051503e+00
  1.350906e+00    5.845132e+00
  1.363668e+00    5.749464e+00
  1.376429e+00    5.822506e+00
  1.389191e+00    5.451881e+00
